./sledgehammer/Fundamental_Theorem_Algebra/uf.571740.smt2, unsat, 8, v3, 69.22873252257705
./sledgehammer/Fundamental_Theorem_Algebra/uf.571740.smt2, unsat, 8, v3si, 69.61239115707576
./sledgehammer/TypeSafe/smtlib.1267524.smt2, unsat, 5, v1, 278.62853935547173
./sledgehammer/TypeSafe/smtlib.1267524.smt2, unsat, 5, v3, 107.05425235629082
./sledgehammer/TypeSafe/smtlib.1267524.smt2, unsat, 5, v3si, 83.20938356034458
./sledgehammer/TypeSafe/smtlib.1412484.smt2, unsat, 6, v1, 611.1432081796229
./sledgehammer/TypeSafe/smtlib.1412484.smt2, unsat, 6, v3, 562.8987949565053
./sledgehammer/TypeSafe/smtlib.1412484.smt2, unsat, 6, v3si, 559.065503783524
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_12_26_578_2629778.smt_in.smt2, unsat, 7, v1, 372.63115399703383
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_12_26_578_2629778.smt_in.smt2, unsat, 7, v3, 354.93146098963916
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_12_26_578_2629778.smt_in.smt2, unsat, 7, v3si, 382.7269240692258
./sledgehammer/Hoare/uf.692423.smt2, unsat, 6, v1, 762.665117809549
./sledgehammer/Hoare/uf.692423.smt2, unsat, 6, v3, 678.9074193704873
./sledgehammer/Hoare/uf.692423.smt2, unsat, 6, v3si, 359.83266821317375
./sledgehammer/Hoare/uf.1004091.smt2, unsat, 10, v1, 223.10869206115603
./sledgehammer/Hoare/uf.1004091.smt2, unsat, 10, v3, 156.64848947525024
./sledgehammer/Hoare/uf.1004091.smt2, unsat, 10, v3si, 191.98869514651597
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_42_094_1080705.smt_in.smt2, unsat, 9, v1, 209.74553832784295
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_42_094_1080705.smt_in.smt2, unsat, 9, v3, 225.25516898557544
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_42_094_1080705.smt_in.smt2, unsat, 9, v3si, 210.35077738389373
./grasshopper/uninstantiated/dl_reverse_loop_check_heap_access_24_4.smt2, unsat, 7, v1, 246.9041171055287
./grasshopper/uninstantiated/dl_reverse_loop_check_heap_access_24_4.smt2, unsat, 7, v3, 249.14522425457835
./grasshopper/uninstantiated/dl_reverse_loop_check_heap_access_24_4.smt2, unsat, 7, v3si, 81.27996228449047
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_32_239_1240528.smt_in.smt2, unsat, 11, v1, 216.43395114690065
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_32_239_1240528.smt_in.smt2, unsat, 11, v3, 216.25088875368237
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_32_239_1240528.smt_in.smt2, unsat, 11, v3si, 216.29325963929296
./20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_44_54_854_992098.smt_in.smt2, unsat, 5, v1, 226.26540653780103
./20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_44_54_854_992098.smt_in.smt2, unsat, 5, v3, 258.22053545713425
./20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_44_54_854_992098.smt_in.smt2, unsat, 5, v3si, 425.0044792499393
./20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_54_00_148_1099230.smt_in.smt2, unsat, 6, v1, 289.1379639990628
./20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_54_00_148_1099230.smt_in.smt2, unsat, 6, v3, 288.97955396957695
./20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_54_00_148_1099230.smt_in.smt2, unsat, 6, v3si, 409.56590943597257
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_49_14_041_1152954.smt_in.smt2, unsat, 9, v1, 297.21473888494074
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_49_14_041_1152954.smt_in.smt2, unsat, 9, v3, 290.1053275298327
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_49_14_041_1152954.smt_in.smt2, unsat, 9, v3si, 113.60961416177452
./sledgehammer/Arrow_Order/uf.806754.smt2, unsat, 6, v1, 1009.1870740596205
./sledgehammer/Arrow_Order/uf.806754.smt2, unsat, 6, v3, 958.5517473071814
./sledgehammer/Arrow_Order/uf.806754.smt2, unsat, 6, v3si, 555.1178144402802
./20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_47_01_275_1024212.smt_in.smt2, unsat, 8, v1, 445.718428818509
./20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_47_01_275_1024212.smt_in.smt2, unsat, 8, v3, 418.7154713626951
./20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_47_01_275_1024212.smt_in.smt2, unsat, 8, v3si, 353.1811473686248
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_15_35_439_2741694.smt_in.smt2, unsat, 6, v1, 185.79028038866818
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_15_35_439_2741694.smt_in.smt2, unsat, 6, v3, 197.9659070968628
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_15_35_439_2741694.smt_in.smt2, unsat, 6, v3si, 201.13535973243415
./sledgehammer/Fundamental_Theorem_Algebra/uf.1281914.smt2, unsat, 15, v1, 627.7361529693007
./sledgehammer/Fundamental_Theorem_Algebra/uf.1281914.smt2, unsat, 15, v3, 635.6536222398281
./sledgehammer/Fundamental_Theorem_Algebra/uf.1281914.smt2, unsat, 15, v3si, 883.0011466424912
./sledgehammer/NS_Shared/uf.781306.smt2, unsat, 8, v1, 1117.1047268807888
./sledgehammer/NS_Shared/uf.781306.smt2, unsat, 8, v3, 522.6829691715539
./sledgehammer/NS_Shared/uf.781306.smt2, unsat, 8, v3si, 988.9881151746958
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_52_015_2717538.smt_in.smt2, unsat, 7, v1, 338.5316816214472
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_52_015_2717538.smt_in.smt2, unsat, 7, v3, 495.8092668913305
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_52_015_2717538.smt_in.smt2, unsat, 7, v3si, 384.1932969596237
./20170428-Barrett/cdt-cade2015/nada/afp/llist2/x2015_09_10_16_53_49_382_1218775.smt_in.smt2, unsat, 8, v1, 208.86108924634755
./20170428-Barrett/cdt-cade2015/nada/afp/llist2/x2015_09_10_16_53_49_382_1218775.smt_in.smt2, unsat, 8, v3, 213.377005783841
