./sledgehammer/TwoSquares/uf.663784.smt2, sat, 8, v3, 330.23194854333997
./sledgehammer/TwoSquares/uf.663784.smt2, sat, 8, v1, 710.4572929665446
./sledgehammer/TwoSquares/uf.663784.smt2, sat, 8, v3, 331.19294087961316
./sledgehammer/TwoSquares/uf.663784.smt2, sat, 8, v1, 707.0606431737542
./sledgehammer/TwoSquares/uf.663784.smt2, sat, 8, v3, 332.97310619056225
./sledgehammer/TwoSquares/uf.596948.smt2, sat, 18, v1, 278.3840110823512
./sledgehammer/TwoSquares/uf.596948.smt2, sat, 18, v3, 362.75837524980307
./sledgehammer/TwoSquares/uf.596948.smt2, sat, 18, v1, 278.8576338775456
./sledgehammer/TwoSquares/uf.596948.smt2, sat, 18, v3, 366.37666619196534
./sledgehammer/TwoSquares/uf.596948.smt2, sat, 18, v1, 280.04976546391845
./sledgehammer/TwoSquares/uf.596948.smt2, sat, 18, v3, 362.1364185772836
./sledgehammer/FFT/uf.745291.smt2, sat, 7, v1, 187.40839383378625
./sledgehammer/FFT/uf.745291.smt2, sat, 7, v3, 138.51160963624716
./sledgehammer/FFT/uf.745291.smt2, sat, 7, v1, 183.8338325060904
./sledgehammer/FFT/uf.745291.smt2, sat, 7, v3, 138.0457703769207
./sledgehammer/FFT/uf.745291.smt2, sat, 7, v1, 186.6425341963768
./sledgehammer/FFT/uf.745291.smt2, sat, 7, v3, 137.64945536851883
./sledgehammer/Hoare/uf.1020827.smt2, sat, 10, v1, 881.2185166664422
./sledgehammer/Hoare/uf.1020827.smt2, sat, 10, v3, 477.2305412963033
./sledgehammer/Hoare/uf.1020827.smt2, sat, 10, v1, 878.1873303316534
./sledgehammer/Hoare/uf.1020827.smt2, sat, 10, v3, 476.4657288566232
./sledgehammer/Hoare/uf.1020827.smt2, sat, 10, v1, 884.0881135687232
./sledgehammer/Hoare/uf.1020827.smt2, sat, 10, v3, 478.93020333349705
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768393.smt2, sat, 21, v1, 194.38304472342134
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768393.smt2, sat, 21, v3, 1063.6033945642412
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768393.smt2, sat, 21, v1, 193.6772251278162
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768393.smt2, sat, 21, v3, 1063.8165548704565
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768393.smt2, sat, 21, v1, 191.48867735639215
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768393.smt2, sat, 21, v3, 1063.4034797623754
./sledgehammer/TwoSquares/uf.655988.smt2, sat, 9, v1, 948.4444801993668
./sledgehammer/TwoSquares/uf.655988.smt2, sat, 9, v3, 577.6924262493849
./sledgehammer/TwoSquares/uf.655988.smt2, sat, 9, v1, 949.0123038887978
./sledgehammer/TwoSquares/uf.655988.smt2, sat, 9, v3, 571.7999425195158
./sledgehammer/TwoSquares/uf.655988.smt2, sat, 9, v1, 937.1218648180366
./sledgehammer/TwoSquares/uf.655988.smt2, sat, 9, v3, 568.4278990626335
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768411.smt2, sat, 23, v1, 237.3959731310606
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768411.smt2, sat, 23, v3, 217.6883546113968
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768411.smt2, sat, 23, v1, 238.31807743385434
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768411.smt2, sat, 23, v3, 215.8046470284462
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768411.smt2, sat, 23, v1, 239.65023485198617
./sledgehammer/Fundamental_Theorem_Algebra/smtlib.768411.smt2, sat, 23, v3, 215.52390603348613
./sledgehammer/Hoare/smtlib.1113599.smt2, sat, 10, v1, 582.0970161296427
./sledgehammer/Hoare/smtlib.1113599.smt2, sat, 10, v3, 884.457495033741
./sledgehammer/Hoare/smtlib.1113599.smt2, sat, 10, v1, 584.1578168645501
./sledgehammer/Hoare/smtlib.1113599.smt2, sat, 10, v3, 880.9355626963079
./sledgehammer/Hoare/smtlib.1113599.smt2, sat, 10, v1, 588.0232074409723
./sledgehammer/Hoare/smtlib.1113599.smt2, sat, 10, v3, 884.7501859553158
./sledgehammer/Fundamental_Theorem_Algebra/uf.1355379.smt2, sat, 6, v1, 956.3799041435122
./sledgehammer/Fundamental_Theorem_Algebra/uf.1355379.smt2, sat, 6, v3, 673.224082801491
./sledgehammer/Fundamental_Theorem_Algebra/uf.1355379.smt2, sat, 6, v1, 945.7470086701214
./sledgehammer/Fundamental_Theorem_Algebra/uf.1355379.smt2, sat, 6, v3, 668.8603873662651
./sledgehammer/Fundamental_Theorem_Algebra/uf.1355379.smt2, sat, 6, v1, 942.9322505965829
./sledgehammer/Fundamental_Theorem_Algebra/uf.1355379.smt2, sat, 6, v3, 676.4914195463061
./sledgehammer/TwoSquares/uf.614718.smt2, sat, 18, v1, 263.78223018348217
./sledgehammer/TwoSquares/uf.614718.smt2, sat, 18, v3, 244.86285453289747
./sledgehammer/TwoSquares/uf.614718.smt2, sat, 18, v1, 262.4322334676981
./sledgehammer/TwoSquares/uf.614718.smt2, sat, 18, v3, 244.3921188302338
./sledgehammer/TwoSquares/uf.614718.smt2, sat, 18, v1, 263.8400321751833
./sledgehammer/TwoSquares/uf.614718.smt2, sat, 18, v3, 247.54825245961547
./sledgehammer/Hoare/z3.721436.smt2, sat, 21, v1, 383.0981299057603
./sledgehammer/Hoare/z3.721436.smt2, sat, 21, v3, 444.10226752609015
./sledgehammer/Hoare/z3.721436.smt2, sat, 21, v1, 384.8036360144615
./sledgehammer/Hoare/z3.721436.smt2, sat, 21, v3, 444.3675946444273
./sledgehammer/Hoare/z3.721436.smt2, sat, 21, v1, 384.2051470056176
./sledgehammer/Hoare/z3.721436.smt2, sat, 21, v3, 447.11762392148376
./sledgehammer/Hoare/uf.575069.smt2, sat, 5, v1, 1009.5244013220072
./sledgehammer/Hoare/uf.575069.smt2, sat, 5, v3, 953.8788178637624
./sledgehammer/Hoare/uf.575069.smt2, sat, 5, v1, 1004.8645895197988
./sledgehammer/Hoare/uf.575069.smt2, sat, 5, v3, 944.4896725416183
./sledgehammer/Hoare/uf.575069.smt2, sat, 5, v1, 1013.631360065192
./sledgehammer/Hoare/uf.575069.smt2, sat, 5, v3, 946.1951876319945
./sledgehammer/FFT/uf.557456.smt2, sat, 8, v1, 812.5335697159171
./sledgehammer/FFT/uf.557456.smt2, sat, 8, v3, 231.86896271258593
./sledgehammer/FFT/uf.557456.smt2, sat, 8, v1, 799.9462960138917
./sledgehammer/FFT/uf.557456.smt2, sat, 8, v3, 231.3693850338459
./sledgehammer/FFT/uf.557456.smt2, sat, 8, v1, 798.8643282540143
./sledgehammer/FFT/uf.557456.smt2, sat, 8, v3, 233.012627158314
./sledgehammer/Fundamental_Theorem_Algebra/uf.727624.smt2, sat, 10, v1, 951.0746693015099
./sledgehammer/Fundamental_Theorem_Algebra/uf.727624.smt2, sat, 10, v3, 535.1476513519883
