./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_47_308_2265102.smt_in.smt2, unsat, 6, v3, 445.74713544920087
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_47_308_2265102.smt_in.smt2, unsat, 6, v1, 445.4333025626838
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_47_308_2265102.smt_in.smt2, unsat, 6, v3, 440.1907869838178
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_47_308_2265102.smt_in.smt2, unsat, 6, v1, 447.6969841644168
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_47_308_2265102.smt_in.smt2, unsat, 6, v3, 440.8793108314276
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_55_39_729_1550336.smt_in.smt2, unsat, 6, v1, 342.3282867409289
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_55_39_729_1550336.smt_in.smt2, unsat, 6, v3, 535.5759081542492
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_55_39_729_1550336.smt_in.smt2, unsat, 6, v1, 342.30690885335207
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_55_39_729_1550336.smt_in.smt2, unsat, 6, v3, 529.7408120706677
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_55_39_729_1550336.smt_in.smt2, unsat, 6, v1, 342.8560229949653
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_55_39_729_1550336.smt_in.smt2, unsat, 6, v3, 536.1576394736767
./sledgehammer/QEpres/uf.867345.smt2, unsat, 7, v1, 797.7352771833539
./sledgehammer/QEpres/uf.867345.smt2, unsat, 7, v3, 819.1391943655908
./sledgehammer/QEpres/uf.867345.smt2, unsat, 7, v1, 799.7190721333027
./sledgehammer/QEpres/uf.867345.smt2, unsat, 7, v3, 816.0988096781075
./sledgehammer/QEpres/uf.867345.smt2, unsat, 7, v1, 800.5529996268451
./sledgehammer/QEpres/uf.867345.smt2, unsat, 7, v3, 816.8086939565837
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_05_525_1072875.smt_in.smt2, unsat, 5, v1, 550.7198803648353
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_05_525_1072875.smt_in.smt2, unsat, 5, v3, 367.0041493177414
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_05_525_1072875.smt_in.smt2, unsat, 5, v1, 550.3295909427106
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_05_525_1072875.smt_in.smt2, unsat, 5, v3, 369.06740095466375
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_05_525_1072875.smt_in.smt2, unsat, 5, v1, 553.4504373446107
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_05_525_1072875.smt_in.smt2, unsat, 5, v3, 367.76360047608614
./sledgehammer/Fundamental_Theorem_Algebra/uf.1266708.smt2, unsat, 25, v1, 596.6411018110812
./sledgehammer/Fundamental_Theorem_Algebra/uf.1266708.smt2, unsat, 25, v3, 595.9791279509664
./sledgehammer/Fundamental_Theorem_Algebra/uf.1266708.smt2, unsat, 25, v1, 592.7444430403411
